childid,zhfa_12,zhfa_8,zvocab_12,zvocab_8,hours_play_12,hours_play_8,hours_school_12,hours_school_8,hours_study_12,hours_study_8,birth_hh_member,cropfailure,drought,father_ill,flooding,input_prices_rise,livestock_death,mother_ill,other_hh_member_ill,pests,theft,wi_12,wi_8,momedu_12,momedu_8
IN010001,-.8600000143051148,-1.100000023841858,.83418989,1.1555561,3,4,7,6,4,3,no,no,no,no,no,no,no,no,,no,no,.84722221,.75925922,Grade 10,Grade 10
IN010002,-1.929999947547913,-1.580000042915344,.3140738,2.2054584,5,8,8,6,1,1,no,no,no,yes,no,no,no,no,,no,no,.76851851,.76851851,Degree (graduate),Degree (graduate)
IN010003,-1.649999976158142,-1.850000023841858,-.50715268,.75198495,7,9,7,6,1,,no,no,no,no,no,no,no,no,,no,no,.67592591,.625,Grade 7,Grade 7
IN010004,-1.100000023841858,-1.909999966621399,.89899927,1.4252211,5,8,9,5,1,2,no,no,no,no,no,no,no,no,,no,no,.79074073,.75370371,Grade 10,Grade 10
IN010005,-.449999988079071,-.6499999761581421,.35780776,1.7838006,4,6,8,6,2,3,yes,no,no,no,no,no,no,no,,no,no,.7166667,.72222221,Grade 10,Grade 10
IN010006,-.5699999928474426,-1.309999942779541,1.5185735,,6,6,7,5,1,1,no,no,no,no,no,no,no,no,,no,no,.84722221,.89814818,Degree (graduate),Degree (graduate)
IN010007,-1.309999942779541,.75,.12965553,2.3434172,6,14,7,,1,,no,no,no,no,no,no,no,no,,no,no,.75925922,.75925922,Grade 9,Grade 9
IN010008,-1.240000009536743,-1.5,.1659935,.27664578,4,7,10,5,1,,no,no,no,no,no,no,no,no,,no,no,.45833334,.4212963,Grade 5,Grade 5
IN010009,-1.549999952316284,-1.539999961853027,-.76277375,.81867057,1,3,8,7,3,3,no,no,no,no,no,no,no,no,,no,no,.67989421,.62698412,Grade 6,Grade 5
IN010010,-1.440000057220459,-2.130000114440918,,,5,8,7,7,3,,no,no,no,no,no,no,no,no,,no,no,.75,.67592591,Grade 6,Grade 5
IN010011,-.5199999809265137,-1.059999942779541,-5.1880364,1.4314984,5,6,8,7,1,,no,no,no,no,no,no,no,no,,no,no,.70555556,.66851854,None,None
IN010012,-1.759999990463257,.8199999928474426,1.3231883,.091971971,7,12,7,,2,2,no,no,no,no,no,no,no,no,,no,no,.77314818,.75925922,Grade 7,Grade 6
IN010013,-1.830000042915344,-1.25,.12519009,1.3973649,2,10,8,4,3,,no,no,no,no,no,no,no,no,,no,no,.54166669,.6388889,Grade 7,Grade 7
IN010014,-.9700000286102295,-.8899999856948853,-.0086644804,1.5747533,4,4,8,7,3,3,no,no,no,no,no,no,no,no,,no,no,.69907409,.71296299,Grade 7,Grade 7
IN010015,-1.700000047683716,-.7300000190734863,.48793113,2.1183839,3,8,8,5,4,2,no,no,no,no,no,no,no,no,,no,no,.83333331,.85185188,Grade 10,Grade 10
IN010016,-2,-2.190000057220459,.029960653,1.1417894,6,4,8,8,1,2,no,no,no,no,no,no,no,no,,no,no,.63333333,.59629631,Grade 10,Grade 10
IN010017,-1.129999995231628,-1.370000004768372,1.5754836,1.9113897,3,5,8,7,2,2,no,no,no,no,no,no,no,no,,no,no,.75925922,.66203701,Grade 7,Grade 6
IN010018,-2.170000076293945,-2.150000095367432,-.61666763,.37463862,4,6,8,6,2,2,no,no,no,no,no,no,no,no,,no,no,.71296299,.72222221,Grade 10,Grade 10
IN010019,-1.090000033378601,-1.549999952316284,1.7712069,1.8260957,4,3,11,8,1,3,no,no,no,no,no,no,no,no,,no,no,.83888888,.76481485,Degree (graduate),Degree (graduate)
