childid,zhfa_12,zhfa_8,zvocab_12,zvocab_8,hours_play_12,hours_play_8,hours_school_12,hours_school_8,hours_study_12,hours_study_8,birth_hh_member,cropfailure,drought,father_ill,flooding,input_prices_rise,livestock_death,mother_ill,other_hh_member_ill,pests,theft,wi_12,wi_8,momedu_12,momedu_8
PE011001,-2.299999952316284,-1.77,.95956844,-.81550264,6,3,6,3,2,1,no,no,no,no,no,no,no,no,no,no,no,.73099416,.52907884,"Grade 11 (Yr 5, Secondary)","Grade 11 (Yr 5, Secondary)"
PE011002,-1.75,-1.58,-1.2303754,-.0021915499,3,8,6,4,2,1,no,no,no,no,yes,no,no,no,no,no,no,.70431286,.61198932,Incomplete technical/ pedagogical institute,Incomplete technical/ pedagogical institute
PE011003,-.4399999976158142,-.48,.29247999,.77870595,6,2,6,5,2,2,no,no,no,no,no,no,no,no,no,no,no,.4755117,.6675449,"Grade 11 (Yr 5, Secondary)","Grade 11 (Yr 5, Secondary)"
PE011004,.9599999785423279,1.2,.68666875,-1.2459463,3,8,5,5,1,2,no,no,no,no,no,no,no,no,no,no,no,.75328946,.72436899,Complete university,Complete university
PE011005,-2.390000104904175,-2.98,-.40072587,-1.5665535,6,3,6,4,1,2,no,no,no,no,no,no,no,no,no,no,no,.61769003,.38976711,"Grade 8 (Yr 2, Secondary)","Grade 8 (Yr 2, Secondary)"
PE011006,-2.190000057220459,-2.22,-.75793952,-.74224508,4,4,6,5,1,2,no,no,no,no,no,no,no,no,no,no,no,.3644006,.52865601,Grade 4 (Primary),Grade 3 (Primary)
PE011007,-.3700000047683716,-.6,.28134355,,6,9,6,5,2,1,no,no,no,no,no,no,no,no,no,no,no,.78830409,.64188135,Complete university,Complete university
PE011008,-1.47000002861023,-1.86,2.0727928,.8391425,2,3,6,5,2,1,no,no,no,no,yes,no,no,no,no,no,no,.72748536,.63951337,Complete university,Complete technical/ pedagogical institute
PE011009,-1.279999971389771,.16,.57259107,1.6495012,5,3,6,4,2,1,yes,no,no,no,no,no,no,no,no,no,no,.86900586,.86452639,"Grade 11 (Yr 5, Secondary)","Grade 11 (Yr 5, Secondary)"
PE011010,.6299999952316284,.42,-1.4186648,,3,3,9,4,1,1,no,no,no,no,no,no,no,no,no,no,no,.70196325,.58519816,,"Grade 9 (Yr 3, Secondary)"
PE011011,-3.130000114440918,-3.22,-1.7691209,-1.419467,4,4,6,4,1,1,no,no,no,no,yes,no,no,no,no,no,no,.61374271,.50062454,"Grade 9 (Yr 3, Secondary)","Grade 9 (Yr 3, Secondary)"
PE011012,-.2700000107288361,.05,.47937104,.80765325,4,7,6,5,1,3,no,no,no,no,no,no,no,yes,no,no,no,.84649122,.72690606,Complete university,Complete university
PE011013,-1.230000019073486,-1.26,-.45441476,-1.4479167,5,8,5,4,3,1,no,no,no,no,no,no,no,no,no,no,no,.39327484,.50062454,"Grade 11 (Yr 5, Secondary)","Grade 11 (Yr 5, Secondary)"
PE011014,-3.049999952316284,-3.07,-1.6493242,-.77242827,4,3,6,4,1,1,yes,no,no,no,no,no,no,no,no,no,yes,.27997077,.3064338,"Grade 11 (Yr 5, Secondary)","Grade 11 (Yr 5, Secondary)"
PE011015,-.4099999964237213,-.55,.8273198,-.29923958,8,5,6,4,1,1,no,no,no,no,no,no,no,no,no,no,no,.8399123,.86275047,"Grade 10 (Yr 4, Secondary)","Grade 10 (Yr 4, Secondary)"
PE011016,.4000000059604645,.36,-.40085295,-.13621995,4,4,6,5,2,2,no,no,no,no,yes,no,no,no,yes,no,no,.64217836,.50087821,Complete technical/ pedagogical institute,Complete technical/ pedagogical institute
PE011017,-1.47000002861023,-1.6,.54144561,-.74648309,6,5,6,4,1,1,no,no,no,no,no,no,no,no,no,no,no,.47880116,.55618006,Grade 6 (Primary),Grade 6 (Primary)
PE011018,-.3300000131130219,-.77,-.94938755,,3,4,6,5,1,1,no,no,no,no,no,no,no,no,no,no,no,.69937867,.72310042,"Grade 8 (Yr 2, Secondary)","Grade 8 (Yr 2, Secondary)"
PE011019,-2.369999885559082,-3.25,1.2483548,-.63040692,3,2,6,4,2,2,no,no,no,no,no,no,no,no,no,no,no,.75526315,.55618006,Grade 6 (Primary),Grade 6 (Primary)
PE011020,.6800000071525574,.26,.99493307,,5,3,6,5,3,2,no,no,no,no,no,no,no,no,no,no,no,.84210527,.58801717,Complete technical/ pedagogical institute,Complete technical/ pedagogical institute
PE011021,-1.100000023841858,-1.49,.64864373,,4,3,6,5,2,1,no,no,no,no,yes,no,no,no,yes,no,no,.73099416,.58598751,Grade 6 (Primary),Grade 6 (Primary)
PE011022,.119999997317791,-.13,-.0024728137,-1.0670278,6,4,6,4,2,1,yes,no,no,no,yes,yes,no,no,yes,no,no,.64327484,.50163937,"Grade 7 (Yr 1, Secondary)","Grade 7 (Yr 1, Secondary)"
PE011023,.0299999993294477,.05,3.8193111,,3,3,6,4,2,1,no,no,no,no,no,no,no,no,no,no,no,.64546782,.44532266,Incomplete technical/ pedagogical institute,Incomplete technical/ pedagogical institute
PE011024,-3.009999990463257,-2.87,.37186384,-.21720752,3,3,6,4,2,1,yes,no,no,no,no,no,no,no,no,no,no,.50657892,.55706805,"Grade 11 (Yr 5, Secondary)","Grade 11 (Yr 5, Secondary)"
PE011025,-.8999999761581421,-.9500000000000001,.83173877,,4,3,5,6,3,1,no,no,no,no,no,no,no,no,no,no,no,.80884504,.72310042,Complete technical/ pedagogical institute,Complete technical/ pedagogical institute
PE011026,-.8299999833106995,-.55,1.6038229,-.21396343,2,1,6,5,3,3,no,no,no,no,no,no,no,no,no,no,no,.58771932,.58378869,Complete technical/ pedagogical institute,Complete technical/ pedagogical institute
PE011027,-.5,-.89,.72052735,.77316171,4,3,6,5,2,1,no,no,no,no,no,no,no,no,no,no,no,.73162073,.64067322,"Grade 9 (Yr 3, Secondary)","Grade 9 (Yr 3, Secondary)"
PE011028,-1.850000023841858,-2.42,.1629089,.17151053,4,3,6,5,1,2,no,no,no,no,no,no,no,no,no,no,no,.84912282,.78043193,"Grade 11 (Yr 5, Secondary)","Grade 11 (Yr 5, Secondary)"
PE011029,-.3600000143051148,-2.15,-.87348658,,5,4,7,5,1,1,no,no,no,no,no,no,no,no,no,no,no,.8121345,.77992451,Complete technical/ pedagogical institute,Complete technical/ pedagogical institute
PE011030,-1.549999952316284,-1.65,.65540028,1.7319089,4,4,6,4,2,1,no,no,no,no,no,no,no,no,no,no,yes,.84210527,.86325788,Complete university,
PE011031,-.5799999833106995,-2.71,.70315522,.16468327,6,5,5,6,2,1,no,no,no,no,no,no,no,no,no,no,no,.81871343,.75299245,"Grade 11 (Yr 5, Secondary)","Grade 11 (Yr 5, Secondary)"
PE011032,-.0599999986588955,.2,3.331718,,4,4,6,5,2,1,no,no,no,no,no,no,no,no,yes,no,no,.8121345,.7254563,,Grade 6 (Primary)
PE011033,.6200000047683716,.72,-.24067646,-.03787468,5,3,6,5,3,2,yes,no,no,no,no,no,no,no,yes,no,no,.83931422,.78101188,,
PE011034,-.5699999928474426,-.15,-.15494928,.21381105,3,5,6,4,3,2,no,no,no,no,yes,no,no,no,no,no,no,.61695904,.64018995,"Grade 10 (Yr 4, Secondary)","Grade 10 (Yr 4, Secondary)"
PE011035,-.8299999833106995,-2.92,.7883743,-.15706603,4,2,6,4,2,1,no,no,no,no,no,no,no,no,no,no,no,.5849781,.3895134,"Grade 8 (Yr 2, Secondary)","Grade 8 (Yr 2, Secondary)"
PE011036,-.8999999761581421,-.88,-.26187345,-.74890095,8,4,5,4,1,0,yes,no,no,yes,no,no,no,yes,yes,no,yes,.72551167,.72328162,Grade 6 (Primary),Grade 6 (Primary)
PE011037,-.0900000035762787,-.33,.70139509,-.62838686,4,3,6,4,4,1,no,no,no,no,no,no,no,no,no,no,no,.56608188,.69595695,,
PE011038,-.8199999928474426,-1.04,.50142348,.5761978,4,4,5,5,2,3,no,no,no,no,yes,no,no,no,no,no,no,.70431286,.75366902,Grade 6 (Primary),Grade 5 (Primary)
PE011039,-3.359999895095825,-2.91,-1.1697502,-1.2449336,2,2,6,4,2,1,no,no,no,no,no,no,no,no,no,no,no,.25789472,.64103568,Grade 1 (Primary),None
PE011040,-1.210000038146973,-1.77,-.8762536,-.081776209,1,4,6,4,1,1,no,no,no,no,yes,no,no,no,no,no,no,.72880119,.61494923,Complete technical/ pedagogical institute,Complete technical/ pedagogical institute
PE011041,.1299999952316284,-1.77,1.285282,.37293974,7,4,6,5,1,1,no,no,no,no,no,no,no,no,no,no,no,.44883043,.52865601,Incomplete technical/ pedagogical institute,"Grade 11 (Yr 5, Secondary)"
PE011042,.1899999976158142,-.01,-.36060992,-.62983012,3,5,7,4,2,1,no,no,no,no,yes,no,no,no,no,no,no,.50328946,.33421156,"Grade 11 (Yr 5, Secondary)","Grade 11 (Yr 5, Secondary)"
PE011043,-.6000000238418579,-.73,-.80008531,-1.0143021,5,4,7,6,1,1,no,no,no,no,no,no,no,no,no,no,no,.58859646,.52941716,"Grade 11 (Yr 5, Secondary)","Grade 11 (Yr 5, Secondary)"
PE011044,-1.519999980926514,-1.61,-.63719773,.53365719,1,3,7,5,3,1,no,no,no,no,no,no,no,no,no,no,yes,.81652045,.83463442,Complete technical/ pedagogical institute,Complete technical/ pedagogical institute
PE011045,-1.399999976158142,-1.72,1.0290282,-.80646741,4,3,7,4,3,2,no,no,no,no,yes,no,no,no,no,no,no,.67456138,.69574553,"Grade 11 (Yr 5, Secondary)","Grade 11 (Yr 5, Secondary)"
PE011046,-1.509999990463257,-1.73,-.22053522,.19295521,3,5,5,4,3,2,no,no,no,no,no,no,no,no,no,no,no,.73011696,.6137653,"Grade 11 (Yr 5, Secondary)","Grade 11 (Yr 5, Secondary)"
PE011047,.7200000286102295,.87,.99017406,1.4069036,3,4,6,5,3,1,no,no,no,no,no,no,no,no,no,no,no,.72880119,.8077023,Complete university,Complete university
